id,sign_1,sign_2,date_day,date_month,date_year
C_149,1,1,6,7,2021
C_262,1,1,28,06,2021
C_319,1,1,4,28,2021
C_121,1,1,14,04,2021
C_60,1,1,14,01,2021
C_118,0,0,14,05,2021
C_101,1,1,21,05,2021
C_147,1,1,03,05,2021
C_63,1,1,25,02,2021
C_141,1,1,24,04,2021
C_78,1,1,21,05,2021
C_275,1,1,14,06,2021
C_66,1,1,29,05,2021
C_51,1,1,20,04,2021
C_41,1,1,07,06,2021
C_116,1,1,20,05,2021
C_163,1,1,05,08,2021
C_268,1,1,08,06,2021
C_246,1,1,01,03,2021
C_332,1,0,0,0,0
C_177,1,1,19,07,2021
C_19,1,1,05,03,2021
C_75,1,1,06,06,2021
C_225,1,1,17,06,2021
C_6,1,1,09,03,2021
C_337,1,1,05,08,2021
C_329,0,0,20,03,2021
C_10,1,1,23,03,2021
C_269,1,1,11,04,2021
C_256,0,0,27,04,2021
C_97,1,1,11,02,2021
C_249,1,1,21,04,2021
C_263,1,1,25,04,2021
C_165,0,0,0,0,0
C_180,1,1,13,02,2021
C_285,1,1,05,08,2021
C_335,1,1,05,05,2021
C_84,1,1,05,04,2021
C_108,1,1,24,06,2021
C_235,1,1,27,04,2021
C_87,1,1,13,02,2021
C_130,1,1,07,07,2021
C_291,1,1,26,01,2021
C_86,1,1,14,06,2021
C_281,1,0,11,05,2021
C_107,1,1,01,03,2021
C_56,1,1,10,06,2021
C_40,1,0,04,4,2021
C_125,1,1,17,06,2021
C_69,1,1,22,07,2021
C_113,1,1,14,07,2021
C_284,1,1,01,06,2021
C_173,1,1,22,07,2021
C_146,1,1,13,05,2021
C_124,1,1,22,02,2021
C_198,1,1,01,01,2021
C_95,1,1,22,06,2021
C_300,1,1,22,07,2021
C_159,0,0,0,0,0
C_301,1,1,0,0,0
C_255,0,0,0,0,0
C_292,1,1,27,05,2021
C_211,1,1,29,04,2021
C_250,1,1,29,03,2021
C_233,1,1,16,03,2021
C_247,1,1,24,06,2021
C_139,1,1,23,03,2021
C_49,1,1,26,04,2021
C_1,1,1,01,03,2021
C_230,1,1,08,03,2021
C_283,1,1,25,04,2021
C_80,1,1,10,01,2021
C_229,1,1,23,4,2021
C_220,1,1,06,02,2021
C_74,1,1,11,02,21
C_327,1,1,22,03,2021
C_341,0,0,03,07,2021
C_257,1,1,21,05,2021
C_321,1,1,07,07,2021
C_175,1,1,24,07,2021
C_212,1,1,12,05,2021
C_240,1,1,08,03,2021
C_123,1,0,0,0,0
C_310,1,1,24,04,2021
C_14,1,1,13,02,2021
C_71,1,0,03,04,2021
C_197,1,1,14,01,2021
C_199,1,1,20,03,2021
C_241,1,1,05,02,2021
C_72,0,0,0,0,0
C_313,1,1,09,05,2021
C_203,1,1,02,05,2021
C_317,1,1,13,05,2021
C_143,1,1,26,02,0
C_109,1,1,23,02,2021
C_288,1,1,6,7,2021
C_54,1,1,01,04,2021
C_100,1,1,26,01,2021
C_295,1,1,11,02,21
C_154,1,1,05,08,2021
C_209,1,1,20,04,2021
C_259,1,1,11,02,2021
C_136,1,1,12,01,2021
C_185,1,1,02,28,2021
C_298,0,0,0,0,0
C_38,1,1,06,03,2021
C_326,0,0,14,05,2021
C_21,1,1,03,04,2021
C_338,1,0,0,0,0
C_92,1,1,25,04,2021
C_187,1,1,22,02,2021
C_112,0,0,06,05,2021
C_164,1,1,05,08,2021
C_7,1,1,12,05,2021
C_50,1,1,26,02,2021
C_55,1,1,07,04,2021
C_174,1,1,23,07,2021
C_132,1,1,29,05,2021
C_122,1,1,20,04,2021
C_222,1,1,06,03,2021
C_142,1,1,6,27,2021
C_267,1,1,27,03,2021
C_34,1,1,23,4,2021
C_158,1,1,30,07,2021
C_272,1,1,24,07,2021
C_179,1,1,17,05,2021
C_205,0,0,0,0,0
C_148,1,1,0,0,0
C_48,1,1,06,05,2021
C_90,1,1,27,03,2021
C_334,1,1,15,03,2021
C_207,1,1,01,04,2021
C_131,1,1,08,03,2021
C_57,1,1,09,02,2021
C_347,0,1,0,0,0
C_128,1,1,4,28,2021
C_296,1,1,29,05,2021
C_13,1,1,26,06,2021
C_12,1,1,27,04,2021
C_318,1,1,04,05,2021
C_304,1,1,19,05,2021
C_322,1,1,17,06,2021
C_157,1,1,21,04,2021
C_227,1,1,08,01,2021
C_193,1,1,04,05,2021
C_305,1,1,26,02,0
C_219,1,1,06,05,2021
C_214,1,1,07,06,2021
C_79,1,0,11,05,2021
C_171,1,1,27,07,2021
C_83,1,1,13,03,2021
C_216,1,1,26,04,2021
C_18,1,0,16,07,21
C_29,1,1,17,06,2021
C_45,1,1,4,23,2021
C_201,1,1,10,06,2021
C_316,1,1,23,05,2021
C_61,0,0,0,0,0
C_279,1,1,04,07,2021
C_231,1,1,19,03,2021
C_261,1,1,26,01,2021
C_176,1,1,22,07,2021
C_303,1,1,13,05,2021
C_134,1,1,23,05,2021
C_15,1,1,08,03,2021
C_138,1,1,09,05,2021
C_145,1,1,18,01,2021
C_8,1,1,11,07,2021
C_20,0,0,28,03,2021
C_3,0,0,03,07,2021
C_114,1,1,15,03,2021
C_44,1,1,29,01,2021
C_325,1,1,16,05,2021
C_289,1,1,06,06,2021
C_217,1,1,11,01,2021
C_280,1,1,02,05,2021
C_308,1,1,18,04,2021
C_237,1,1,05,03,2021
C_208,0,0,09,03,2021
C_213,1,1,26,02,2021
C_323,1,1,05,4,2021
C_252,1,1,23,02,2021
C_345,1,1,19,07,2021
C_324,1,1,22,02,2021
C_270,1,1,05,04,2021
C_202,1,1,20,07,2021
C_160,0,0,0,0,0
C_39,1,1,29,03,2021
C_218,1,1,29,01,2021
C_191,1,1,03,15,2021
C_260,1,1,12,06,2021
C_151,1,1,25,04,2021
C_27,1,1,19,03,2021
C_17,1,1,17,05,2021
C_32,1,1,08,01,2021
C_98,1,1,06,06,2021
C_206,1,1,07,04,2021
C_46,1,1,12,05,2021
C_264,1,1,22,06,2021
C_85,1,1,11,04,2021
C_35,1,1,08,03,2021
C_265,1,1,27,02,2021
C_242,0,0,28,03,2021
C_5,1,1,03,15,2021
C_91,1,1,02,02,2021
C_274,1,1,13,02,2021
C_169,1,1,04,07,2021
C_348,1,1,23,07,2021
C_137,1,1,07,05,2021
C_307,1,1,23,03,2021
C_340,1,1,22,07,2021
C_244,0,1,0,0,0
C_33,1,1,3,5,21
C_36,1,1,17,04,2021
C_161,1,1,22,03,2021
C_190,1,1,12,05,2021
C_352,1,1,22,03,2021
C_188,1,1,23,03,2021
C_172,0,1,0,0,0
C_22,1,1,6,06,21
C_31,1,1,09,05,2021
C_236,1,1,6,06,21
C_253,1,1,30,06,2021
C_64,1,1,20,03,2021
C_314,1,1,08,03,2021
C_162,1,0,0,0,0
C_277,1,1,2,15,2021
C_192,0,0,03,07,2021
C_294,1,1,12,06,2021
C_258,1,1,06,06,2021
C_309,1,1,6,27,2021
C_120,1,1,22,03,2021
C_140,1,1,18,04,2021
C_119,0,0,20,03,2021
C_81,1,1,2,15,2021
C_94,1,1,27,02,2021
C_331,1,1,14,04,2021
C_215,1,0,04,4,2021
C_70,1,1,11,03,2021
C_354,0,0,0,0,0
C_59,1,1,01,01,2021
C_189,1,1,01,03,2021
C_104,1,1,21,04,2021
C_150,1,1,01,06,2021
C_271,1,1,07,06,2021
C_349,1,1,27,07,2021
C_155,1,1,02,05,2021
