filename,filename_path,xmin,ymin,xmax,ymax,w,h,label_txt,label
C_1,../../01.Datasets/processed/images_train/fechas/C_1.jpg,20,8,104,20,84,12,date,12
C_1,../../01.Datasets/processed/images_train/fechas/C_1.jpg,20,8,31,19,11,11,0,1
C_1,../../01.Datasets/processed/images_train/fechas/C_1.jpg,30,8,38,18,8,10,1,2
C_1,../../01.Datasets/processed/images_train/fechas/C_1.jpg,38,8,46,18,8,10,-,11
C_1,../../01.Datasets/processed/images_train/fechas/C_1.jpg,46,8,55,19,9,11,0,1
C_1,../../01.Datasets/processed/images_train/fechas/C_1.jpg,55,8,63,19,8,11,3,4
C_1,../../01.Datasets/processed/images_train/fechas/C_1.jpg,63,8,72,19,9,11,-,11
C_1,../../01.Datasets/processed/images_train/fechas/C_1.jpg,72,8,80,19,8,11,2,3
C_1,../../01.Datasets/processed/images_train/fechas/C_1.jpg,81,9,87,19,6,10,0,1
C_1,../../01.Datasets/processed/images_train/fechas/C_1.jpg,87,9,94,18,7,9,2,3
C_1,../../01.Datasets/processed/images_train/fechas/C_1.jpg,94,8,103,19,9,11,1,2
C_10,../../01.Datasets/processed/images_train/fechas/C_10.jpg,25,8,110,19,85,11,date,12
C_10,../../01.Datasets/processed/images_train/fechas/C_10.jpg,25,8,36,18,11,10,2,3
C_10,../../01.Datasets/processed/images_train/fechas/C_10.jpg,35,8,44,18,9,10,3,4
C_10,../../01.Datasets/processed/images_train/fechas/C_10.jpg,45,11,52,15,7,4,-,11
C_10,../../01.Datasets/processed/images_train/fechas/C_10.jpg,52,8,60,18,8,10,0,1
C_10,../../01.Datasets/processed/images_train/fechas/C_10.jpg,61,9,69,18,8,9,3,4
C_10,../../01.Datasets/processed/images_train/fechas/C_10.jpg,69,11,77,15,8,4,-,11
C_10,../../01.Datasets/processed/images_train/fechas/C_10.jpg,78,8,86,19,8,11,2,3
C_10,../../01.Datasets/processed/images_train/fechas/C_10.jpg,86,9,94,18,8,9,0,1
C_10,../../01.Datasets/processed/images_train/fechas/C_10.jpg,94,9,103,19,9,10,2,3
C_10,../../01.Datasets/processed/images_train/fechas/C_10.jpg,102,9,111,19,9,10,1,2
C_100,../../01.Datasets/processed/images_train/fechas/C_100.jpg,41,9,117,20,76,11,date,12
C_100,../../01.Datasets/processed/images_train/fechas/C_100.jpg,41,9,50,19,9,10,2,3
