id,sign_1,sign_2,date_day,date_month,date_year
C_2,1,1,04,05,2021
C_4,1,1,20,02,2021
C_9,1,1,02,28,2021
C_11,1,1,22,02,2021
C_16,1,1,14,03,2021
C_23,1,1,05,02,2021
C_24,1,1,27,04,2021
C_25,1,0,0,0,0
C_26,1,1,16,03,2021
C_28,0,0,09,02,2021
C_30,1,1,16,02,2021
C_37,1,1,13,07,2021
C_42,1,1,06,02,2021
C_43,1,1,29,04,2021
C_47,1,1,11,01,2021
C_52,1,1,20,07,2021
C_53,0,0,09,03,2021
C_58,1,1,02,05,2021
C_62,1,1,08,07,2021
C_65,1,1,03,26,2021
C_67,1,1,28,01,2021
C_68,1,1,23,05,2021
C_73,1,1,12,06,2021
C_76,1,1,27,05,2021
C_77,1,1,26,01,2021
C_82,1,1,21,07,2021
C_88,1,1,08,06,2021
C_89,1,1,07,06,2021
C_93,1,1,28,06,2021
C_96,1,1,12,06,2021
C_99,0,0,0,0,0
C_102,1,1,04,04,2021
C_103,1,1,29,03,2021
C_105,0,0,27,04,2021
C_106,1,1,30,06,2021
C_110,1,1,12,04,2021
C_111,1,1,05,05,2021
C_115,0,1,0,0,0
C_117,1,1,14,01,2021
C_126,1,1,16,05,2021
C_127,1,1,05,4,2021
C_129,1,1,04,05,2021
C_133,1,1,1,28,2021
C_135,1,1,13,05,2021
C_144,1,1,17,05,2021
C_152,1,1,2,8,2021
C_153,1,1,04,02,2021
C_156,1,1,04,07,2021
C_166,0,0,22,03,2021
C_167,0,1,22,03,2021
C_168,0,0,07,17,2021
C_170,1,1,17,02,2021
C_178,1,1,27,04,2021
C_181,1,1,14,03,2021
C_182,1,1,26,06,2021
C_183,1,1,20,02,2021
C_184,1,1,04,03,2021
C_186,1,1,11,07,2021
C_194,1,1,03,26,2021
C_195,1,1,28,01,2021
C_196,1,1,25,02,2021
C_200,1,1,06,07,2021
C_204,1,1,09,02,2021
C_210,1,1,4,23,2021
C_221,1,1,29,03,2021
C_223,1,1,13,07,2021
C_224,1,1,16,02,2021
C_226,1,1,09,05,2021
C_228,1,1,17,04,2021
C_232,1,1,3,5,21
C_234,0,0,09,02,2021
C_238,1,0,0,0,0
C_239,1,0,0,0,0
C_243,1,1,03,04,2021
C_245,1,1,14,07,2021
C_248,0,0,06,05,2021
C_251,1,1,12,04,2021
C_254,1,1,07,04,2021
C_266,1,1,02,02,2021
C_273,1,1,30,07,2021
C_276,1,1,13,03,2021
C_278,1,1,21,04,2021
C_282,1,1,21,05,2021
C_286,1,1,04,02,2021
C_287,1,1,2,5,2021
C_290,1,1,10,01,2021
C_293,1,0,03,04,2021
C_297,1,1,23,05,2021
C_299,1,1,11,03,2021
C_302,1,1,03,05,2021
C_306,1,1,18,01,2021
C_311,1,1,12,01,2021
C_312,1,1,07,05,2021
C_315,1,1,1,28,2021
C_320,1,1,29,05,2021
C_328,1,1,20,04,2021
C_330,1,1,20,05,2021
C_333,1,1,14,01,2021
C_336,0,1,22,02,2021
C_339,0,0,0,0,0
C_342,1,1,24,07,2021
C_343,1,1,22,07,2021
C_344,1,1,04,07,2021
C_346,1,1,17,03,2021
C_350,0,0,22,05,2021
C_351,0,0,0,0,0
C_353,1,1,05,08,2021
